timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-01-26T00:00:00.000Z";"2024-01-26T23:59:59.999Z";"2024-01-26T20:14:00.000Z";"2024-01-26T01:11:00.000Z";"2781";39936.8168833334;42209.3851748614;39825.6922313522;41816.8728440034;25598119893.13;820011355201.19;"2024-01-26T23:59:59.999Z"
"2024-01-25T00:00:00.000Z";"2024-01-25T23:59:59.999Z";"2024-01-25T11:30:00.000Z";"2024-01-25T17:18:00.000Z";"2781";40075.5490213235;40254.4823232698;39545.6644584551;39933.80775217;18491782013.19;783046781497.74;"2024-01-25T23:59:59.999Z"
"2024-01-24T00:00:00.000Z";"2024-01-24T23:59:59.999Z";"2024-01-24T10:50:00.000Z";"2024-01-24T20:57:00.000Z";"2781";39877.5955582972;40483.7838777778;39508.7984636234;40077.073269779;22359526178.02;785809931670.85;"2024-01-24T23:59:59.999Z"
"2024-01-23T00:00:00.000Z";"2024-01-23T23:59:59.999Z";"2024-01-23T04:27:00.000Z";"2024-01-23T14:24:00.000Z";"2781";39518.7154526761;40127.3534273434;38521.8938882205;39845.5511467999;29244553045.3;781234029910.6;"2024-01-23T23:59:59.999Z"
"2024-01-22T00:00:00.000Z";"2024-01-22T23:59:59.999Z";"2024-01-22T01:05:00.000Z";"2024-01-22T19:44:00.000Z";"2781";41553.6526912489;41651.2067927986;39450.1189925939;39507.368823822;31338708142.69;774565393660.75;"2024-01-22T23:59:59.999Z"
"2024-01-21T00:00:00.000Z";"2024-01-21T23:59:59.999Z";"2024-01-21T14:17:00.000Z";"2024-01-21T23:32:00.000Z";"2781";41671.488525486;41855.3687214059;41497.0096642442;41545.7835143902;9344043641.69;814488966035.62;"2024-01-21T23:59:59.999Z"
"2024-01-20T00:00:00.000Z";"2024-01-20T23:59:59.999Z";"2024-01-20T21:10:00.000Z";"2024-01-20T00:39:00.000Z";"2781";41624.5890285851;41877.8939176969;41446.8230903601;41665.5848362109;11586690904.11;816801167080.27;"2024-01-20T23:59:59.999Z"
"2024-01-19T00:00:00.000Z";"2024-01-19T23:59:59.999Z";"2024-01-19T20:15:00.000Z";"2024-01-19T17:11:00.000Z";"2781";41278.4591854003;42134.1589750297;40297.4578577579;41618.4073654042;25752407154.41;815839646533.36;"2024-01-19T23:59:59.999Z"
"2024-01-18T00:00:00.000Z";"2024-01-18T23:59:59.999Z";"2024-01-18T08:03:00.000Z";"2024-01-18T20:37:00.000Z";"2781";42742.3116238329;42876.3466025394;40631.170494622;41262.0583641846;25218357242.1;808819115627.1;"2024-01-18T23:59:59.999Z"
"2024-01-17T00:00:00.000Z";"2024-01-17T23:59:59.999Z";"2024-01-17T01:29:00.000Z";"2024-01-17T17:06:00.000Z";"2781";43132.1003391655;43189.8905105363;42189.3105279928;42742.6528373141;20851232595.16;837804850463.55;"2024-01-17T23:59:59.999Z"
